t,ecg,ppg,spo2
1761449873.0019357,671.0,181.0,204.0
1761449873.0067358,671.0,182.0,188.0
1761449873.0299957,9.0,181.0,179.0
1761449873.055014,671.0,181.0,182.0
1761449873.1133056,671.0,181.0,181.0
1761449873.113718,8.0,180.0,177.0
1761449873.145791,669.0,181.0,181.0
1761449873.174166,671.0,181.0,180.0
1761449873.1944625,8.0,181.0,177.0
1761449873.216705,108.0,181.0,181.0
1761449873.2392468,671.0,181.0,183.0
1761449873.2902884,9.0,181.0,177.0
1761449873.316102,8.0,180.0,179.0
1761449873.3212717,671.0,180.0,183.0
1761449873.3555958,9.0,181.0,178.0
1761449873.3702688,8.0,180.0,179.0
1761449873.400088,671.0,181.0,182.0
1761449873.432015,9.0,181.0,178.0
1761449873.4630828,9.0,181.0,179.0
1761449873.4808202,669.0,181.0,183.0
1761449873.5061479,608.0,181.0,180.0
1761449873.5394,8.0,180.0,176.0
1761449873.5733638,672.0,180.0,180.0
1761449873.5974562,671.0,180.0,178.0
1761449873.6125271,9.0,180.0,175.0
1761449873.64142,672.0,180.0,180.0
1761449873.6771812,671.0,180.0,179.0
1761449873.708839,8.0,179.0,175.0
1761449873.7379248,276.0,179.0,179.0
1761449873.75822,671.0,179.0,181.0
1761449873.7792797,8.0,179.0,177.0
1761449873.792214,8.0,179.0,178.0
1761449873.8233483,671.0,179.0,182.0
1761449873.861728,9.0,179.0,177.0
1761449873.8922079,9.0,179.0,178.0
1761449873.9185545,672.0,180.0,182.0
1761449873.9280624,423.0,179.0,178.0
1761449873.9519336,9.0,179.0,177.0
1761449873.9801476,671.0,180.0,180.0
1761449874.0129902,670.0,179.0,178.0
1761449874.0378983,8.0,179.0,174.0
1761449874.068622,671.0,179.0,180.0
1761449874.0828686,671.0,179.0,178.0
1761449874.112147,8.0,179.0,175.0
1761449874.142815,633.0,179.0,180.0
1761449874.174504,671.0,179.0,179.0
1761449874.1923778,9.0,179.0,175.0
1761449874.2176905,231.0,179.0,178.0
1761449874.2536836,672.0,179.0,180.0
1761449874.3309069,8.0,179.0,175.0
1761449874.3580816,8.0,179.0,177.0
1761449874.3625138,672.0,179.0,181.0
1761449874.3781984,9.0,179.0,175.0
1761449874.3798397,8.0,179.0,177.0
1761449874.4026184,672.0,179.0,181.0
1761449874.4421039,236.0,178.0,177.0
1761449874.4771712,9.0,179.0,176.0
1761449874.5062084,671.0,179.0,180.0
1761449874.5304072,551.0,179.0,179.0
1761449874.5339763,8.0,178.0,176.0
1761449874.5582352,672.0,179.0,181.0
1761449874.592221,671.0,180.0,180.0
1761449874.6331892,9.0,179.0,175.0
1761449874.667653,661.0,180.0,181.0
1761449874.6746566,671.0,179.0,180.0
1761449874.698221,9.0,180.0,175.0
1761449874.7210524,244.0,179.0,178.0
1761449874.7596748,671.0,180.0,180.0
